GEOID_tract,total_comp_cost,nonmotorist_comp_cost,GEOID_county,tract_name,pct_nonmotorist_cost,is_baltimore_city
24510240300,7152111.54,3393545.4000000004,24510,Census Tract 2403,47.44816102238809,True
24001001000,54697713.839999996,25921281.959999997,24001,Census Tract 10,47.39006466673196,False
24510140200,61874106.839999996,29146614.839999996,24510,Census Tract 1402,47.10632012090309,True
24033802001,35117059.32,16534909.439999998,24033,Census Tract 8020.01,47.08511976850799,False
24510271503,35063038.08,16458034.319999998,24510,Census Tract 2715.03,46.93841498403323,True
24041960502,82034632.26,38086714.26,24041,Census Tract 9605.02,46.42760406274295,False
24043000400,63886459.14,29604002.4,24043,Census Tract 4,46.33846169988253,False
24033800518,72917814.06,33567515.1,24033,Census Tract 8005.18,46.034724892300204,False
24510270301,18046409.22,8275414.14,24510,Census Tract 2703.01,45.85629218043411,True
24510151000,121827236.58,55831538.699999996,24510,Census Tract 1510,45.8284536917467,True
24017850711,38041095.96,17417330.28,24017,Census Tract 8507.11,45.78556384998536,False
24005403602,31287417.84,14283716.58,24005,Census Tract 4036.02,45.653229208767456,False
24003740205,86788869.3,39517294.32,24003,Census Tract 7402.05,45.53267560544195,False
24043011502,41206136.58,18739009.8,24043,Census Tract 115.02,45.476259982828026,False
24510120201,26888746.5,12226059.719999999,24510,Census Tract 1202.01,45.4690579198253,True
24033800102,34099545.06,15409127.16,24033,Census Tract 8001.02,45.18865906535352,False
24031700833,55998322.379999995,25212476.52,24031,Census Tract 7008.33,45.023628295344665,False
24510040100,551886381.9,248021044.73999998,24510,Census Tract 401,44.94059880334945,True
24013507702,42228990.72,18939231.36,24013,Census Tract 5077.02,44.848884704768054,False
24027603001,44770279.68,19990506.06,24027,Census Tract 6030.01,44.65128697628006,False
24031703214,40996447.38,18253947.6,24031,Census Tract 7032.14,44.52568153235916,False
24031701211,97287353.10000001,43238501.46,24031,Census Tract 7012.11,44.44411332226901,False
24510170100,62967507.12,27929771.099999998,24510,Census Tract 1701,44.355846971634094,True
24025306300,53975301.66,23913078.839999996,24025,Census Tract 3063,44.30374283155048,False
24510020300,80944240.86,35661705.66,24510,Census Tract 203,44.05712535086958,True
24003706402,22294985.58,9803349.36,24003,Census Tract 7064.02,43.971095315684884,False
24510260800,30830161.32,13463389.799999999,24510,Census Tract 2608,43.6695405523749,True
24031702402,13652742.6,5946780.42,24031,Census Tract 7024.02,43.55740523519428,False
24003750204,123216717.96,53627346.36,24003,Census Tract 7502.04,43.52278428436076,False
24031701509,59592061.62,25808859.72,24031,Census Tract 7015.09,43.30922444767065,False
24009860300,75270608.28,32417030.519999996,24009,Census Tract 8603,43.06731573021373,False
24033800213,58481041.5,25076904.299999997,24033,Census Tract 8002.13,42.88039962489381,False
24043000800,15457818.6,6607424.88,24043,Census Tract 8,42.74487268210018,False
24031703800,89916026.76,38329244.1,24031,Census Tract 7038,42.627822292800786,False
24031705501,7558598.88,3219558.3000000003,24031,Census Tract 7055.01,42.5946442073931,False
24031701312,10704671.459999999,4559340.239999999,24031,Census Tract 7013.12,42.592061391485245,False
24013501001,24620349.599999998,10442214.719999999,24013,Census Tract 5010.01,42.41294250346469,False
24005450300,103141912.86,43296373.26,24005,Census Tract 4503,41.97747749624197,False
24021751001,2904754.8600000003,1217389.32,24021,Census Tract 7510.01,41.91022577375083,False
24031704600,6034373.100000001,2526757.38,24031,Census Tract 7046,41.87274035143766,False
24033806602,15791263.74,6607424.88,24033,Census Tract 8066.02,41.842280572283066,False
24019970500,77771092.13999999,32365591.019999996,24019,Census Tract 9705,41.61648001771266,False
24033803525,42944509.44,17846375.4,24033,Census Tract 8035.25,41.55682678116069,False
24005421102,15434965.979999999,6389360.46,24005,Census Tract 4211.02,41.39536470815079,False
24025302902,101113923.96,41826924.72,24025,Census Tract 3029.02,41.36613740412889,False
24033805201,18423360.9,7610686.02,24033,Census Tract 8052.01,41.30997629211075,False
24031701216,76239660.42,31415538.419999998,24031,Census Tract 7012.16,41.206293741254306,False
24005491000,11069474.22,4553306.1,24005,Census Tract 4910,41.13389678231708,False
24005491202,22975294.86,9428897.52,24005,Census Tract 4912.02,41.03928840720001,False
24031702900,53410557.06,21892564.26,24031,Census Tract 7029,40.98920787402849,False
24031700617,14116769.1,5782763.7,24031,Census Tract 7006.17,40.96379036191787,False
24510260203,23401106.82,9572713.92,24510,Census Tract 2602.03,40.90709894037396,True
24033801216,35170456.86,14383827.360000001,24033,Census Tract 8012.16,40.89747090080877,False
24021750100,12646679.219999999,5168034.899999999,24021,Census Tract 7501,40.86475832981553,False
